City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Vohibinany,MG,2022-01-30 12:14:08,-17.35,49.0333,82.45,74,45,6.33,light rain
60,Slave Lake,CA,2022-01-30 12:14:09,55.2834,-114.769,24.24,92,30,3.44,scattered clouds
61,Larsnes,NO,2022-01-30 12:14:09,62.2028,5.5773,37.67,81,100,8.61,overcast clouds
62,Bredasdorp,ZA,2022-01-30 12:14:09,-34.5322,20.0403,87.28,52,76,16.28,broken clouds
63,Libreville,GA,2022-01-30 12:09:39,0.3925,9.4537,84.87,65,99,5.41,light rain
64,Kavieng,PG,2022-01-30 12:14:10,-2.5744,150.7967,81.07,78,100,4.56,light rain
65,Grindavik,IS,2022-01-30 12:14:10,63.8424,-22.4338,30.15,93,75,34.52,light snow
66,Puri,IN,2022-01-30 12:14:11,19.8,85.85,79.32,46,1,8.37,clear sky
67,Ushuaia,AR,2022-01-30 12:14:10,-54.8,-68.3,44.22,82,100,7.67,overcast clouds
68,Tutoia,BR,2022-01-30 12:14:11,-2.7619,-42.2744,78.78,90,100,7.72,overcast clouds
69,Millau,FR,2022-01-30 12:14:12,44.0833,2.9167,48.99,58,2,7.7,clear sky
70,Jawhar,SO,2022-01-30 12:10:14,2.7809,45.5005,95.52,17,82,17.6,broken clouds
71,Namibe,AO,2022-01-30 12:14:12,-15.1961,12.1522,76.91,65,88,12.57,overcast clouds
72,Neiafu,TO,2022-01-30 12:14:12,-18.65,-173.9833,81.95,75,91,10.63,light rain
73,Camabatela,AO,2022-01-30 12:14:13,-8.1881,15.375,73.87,75,100,6.35,light rain
74,Hambantota,LK,2022-01-30 12:14:13,6.1241,81.1185,81.7,77,33,15.93,scattered clouds
75,Saint-Philippe,RE,2022-01-30 12:14:14,-21.3585,55.7679,85.59,71,33,13.82,scattered clouds
76,Avarua,CK,2022-01-30 12:14:14,-21.2078,-159.775,77.05,88,40,10.36,scattered clouds
77,Isangel,VU,2022-01-30 12:14:14,-19.55,169.2667,78.76,90,100,9.82,light rain
78,Ribeira Grande,PT,2022-01-30 12:14:15,38.5167,-28.7,61.2,63,40,18.41,scattered clouds
79,Busselton,AU,2022-01-30 12:14:15,-33.65,115.3333,69.08,74,0,23.15,clear sky
80,Samarai,PG,2022-01-30 12:14:15,-10.6167,150.6667,81.95,78,100,9.4,overcast clouds
81,Beya,RU,2022-01-30 12:14:16,53.0533,90.9139,-3.73,100,61,2.19,broken clouds
82,Sistranda,NO,2022-01-30 12:14:16,63.7256,8.834,35.56,60,99,21.43,light rain
83,Anaconda,US,2022-01-30 12:14:17,46.1285,-112.9423,29.77,66,76,6.91,broken clouds
84,Upernavik,GL,2022-01-30 12:14:17,72.7868,-56.1549,-8.1,96,100,8.28,overcast clouds
85,Lebu,CL,2022-01-30 12:14:17,-37.6167,-73.65,59.27,83,18,2.68,few clouds
86,Mogadishu,SO,2022-01-30 12:14:18,2.0371,45.3438,82.56,63,20,22.64,few clouds
87,Turayf,SA,2022-01-30 12:14:18,31.6725,38.6637,53.98,28,0,9.22,clear sky
88,Hasaki,JP,2022-01-30 12:14:18,35.7333,140.8333,39.6,50,100,11.5,overcast clouds
89,Thompson,CA,2022-01-30 12:14:19,55.7435,-97.8558,-2.67,99,100,3.22,overcast clouds
90,Georgetown,MY,2022-01-30 12:11:22,5.4112,100.3354,85.93,75,20,1.01,few clouds
91,Charters Towers,AU,2022-01-30 12:15:19,-20.1,146.2667,77.25,73,8,10.18,clear sky
92,Kodiak,US,2022-01-30 12:15:19,57.79,-152.4072,26.11,63,20,16.11,few clouds
93,Bengkulu,ID,2022-01-30 12:15:20,-3.8004,102.2655,79.16,86,100,5.57,light rain
94,Lagoa,PT,2022-01-30 12:15:20,39.05,-27.9833,57.31,62,43,22.86,scattered clouds
95,Hithadhoo,MV,2022-01-30 12:15:20,-0.6,73.0833,82.31,63,99,5.12,overcast clouds
96,Ratnapura,LK,2022-01-30 12:15:21,6.6828,80.3992,84.25,69,52,3.53,broken clouds
97,Hay River,CA,2022-01-30 12:15:21,60.8156,-115.7999,-4.02,77,100,9.22,light snow
98,Bogovarovo,RU,2022-01-30 12:15:21,58.9785,47.0246,15.67,93,95,5.64,overcast clouds
99,Lorengau,PG,2022-01-30 12:15:22,-2.0226,147.2712,80.83,79,100,9.66,overcast clouds
100,East London,ZA,2022-01-30 12:15:22,-33.0153,27.9116,83.34,65,0,18.41,clear sky
101,Nuuk,GL,2022-01-30 12:15:22,64.1835,-51.7216,14.61,73,100,23.02,fog
102,Rawah,IQ,2022-01-30 12:15:23,34.4816,41.9093,55.26,42,54,0.63,broken clouds
103,Bonthe,SL,2022-01-30 12:15:23,7.5264,-12.505,87.66,53,35,5.32,scattered clouds
104,Whyalla,AU,2022-01-30 12:15:23,-33.0333,137.5833,77.45,66,15,13.62,few clouds
105,Port Elizabeth,ZA,2022-01-30 12:12:16,-33.918,25.5701,92.1,63,8,13.51,clear sky
106,Zhanaozen,KZ,2022-01-30 12:15:24,43.3,52.8,44.06,55,76,17.18,broken clouds
107,Tahta,EG,2022-01-30 12:15:24,26.7693,31.5021,63.9,30,1,10.27,clear sky
108,Atuona,PF,2022-01-30 12:15:25,-9.8,-139.0333,77.31,74,5,11.72,clear sky
109,Lashio,MM,2022-01-30 12:15:25,22.9333,97.75,56.43,60,44,1.12,scattered clouds
110,La Plaine,DM,2022-01-30 12:13:09,15.3333,-61.25,75.51,77,32,10.29,scattered clouds
111,Na Wa,TH,2022-01-30 12:15:26,17.4897,104.1006,80.64,49,34,14.99,scattered clouds
112,Yar-Sale,RU,2022-01-30 12:15:26,66.8333,70.8333,-5.75,97,95,8.57,overcast clouds
113,Corrente,BR,2022-01-30 12:15:26,-3.7367,-43.3394,75.38,86,100,4.38,overcast clouds
114,Haines Junction,CA,2022-01-30 12:15:27,60.7522,-137.5108,10.35,72,100,2.3,overcast clouds
115,Capinota,BO,2022-01-30 12:15:27,-17.7167,-66.2333,59.25,74,100,3.22,overcast clouds
116,Tuktoyaktuk,CA,2022-01-30 12:15:27,69.4541,-133.0374,-5.76,97,100,17.11,overcast clouds
117,Leh,IN,2022-01-30 12:15:28,34.1667,77.5833,8.33,76,79,0.83,broken clouds
118,Nanortalik,GL,2022-01-30 12:15:28,60.1432,-45.2371,12.45,72,100,7.74,overcast clouds
119,Broome,US,2022-01-30 12:15:28,42.2506,-75.833,5.77,83,0,1.99,clear sky
120,Srandakan,ID,2022-01-30 12:15:29,-7.9386,110.2506,79.34,83,100,2.75,overcast clouds
121,Clyde River,CA,2022-01-30 12:15:29,70.4692,-68.5914,-19.97,69,100,3.44,overcast clouds
122,Corner Brook,CA,2022-01-30 12:15:29,48.9667,-57.9484,42.93,100,100,14.97,snow
123,Port Alfred,ZA,2022-01-30 12:15:30,-33.5906,26.891,81.23,67,18,17.22,few clouds
124,Apple Valley,US,2022-01-30 12:15:30,34.5008,-117.1859,47.73,27,16,2.39,few clouds
125,Solnechnyy,RU,2022-01-30 12:15:30,50.7214,136.6319,-7.33,99,100,1.14,overcast clouds
126,Swinoujscie,PL,2022-01-30 12:15:31,53.9105,14.2471,48.2,66,50,35.32,scattered clouds
127,Guaruja,BR,2022-01-30 12:15:31,-23.9931,-46.2564,75.27,94,100,2.3,moderate rain
128,Lithgow,AU,2022-01-30 12:15:31,-33.4833,150.15,64.08,98,51,3.33,light rain
129,Torbay,CA,2022-01-30 12:15:32,47.6666,-52.7314,54.28,97,100,19.57,light rain
130,Severo-Kurilsk,RU,2022-01-30 12:15:32,50.6789,156.125,26.02,92,100,16.02,snow
131,Tura,IN,2022-01-30 12:15:32,25.5198,90.2201,57.65,50,56,1.63,broken clouds
132,Adre,TD,2022-01-30 12:15:33,13.4667,22.2,81.0,11,7,5.03,clear sky
133,Davila,PH,2022-01-30 12:15:33,18.4726,120.5763,75.18,77,82,20.87,broken clouds
134,Chegdomyn,RU,2022-01-30 12:15:33,51.1167,133.0167,-22.23,99,83,2.89,broken clouds
135,Svetlaya,RU,2022-01-30 12:15:34,46.5389,138.3297,1.44,78,31,9.75,scattered clouds
136,Souillac,MU,2022-01-30 12:15:34,-20.5167,57.5167,87.37,66,40,12.66,scattered clouds
137,Jinxiang,CN,2022-01-30 12:15:34,27.4327,120.6062,45.23,69,29,11.54,scattered clouds
138,Saint-Francois,FR,2022-01-30 12:16:35,46.4154,3.9054,44.04,100,100,4.61,overcast clouds
139,Faanui,PF,2022-01-30 12:16:35,-16.4833,-151.75,80.11,73,100,8.01,light rain
140,Sabang,ID,2022-01-30 12:16:36,5.8933,95.3214,82.47,68,87,6.58,overcast clouds
141,Ancud,CL,2022-01-30 12:16:36,-41.8697,-73.8203,53.42,69,37,7.47,scattered clouds
142,Morden,CA,2022-01-30 12:14:46,49.1919,-98.1014,4.66,78,67,3.44,broken clouds
143,Winneba,GH,2022-01-30 12:16:19,5.3511,-0.6231,91.87,52,58,9.42,broken clouds
144,Cuenca,EC,2022-01-30 12:16:13,-2.8833,-78.9833,51.93,87,100,4.61,overcast clouds
145,Ukiah,US,2022-01-30 12:16:37,39.1502,-123.2078,49.01,71,0,0.0,clear sky
146,Bajil,YE,2022-01-30 12:16:37,15.0584,43.2851,85.51,50,75,7.2,broken clouds
147,Taoudenni,ML,2022-01-30 12:16:38,22.6783,-3.9836,82.62,10,82,17.27,broken clouds
148,Lompoc,US,2022-01-30 12:16:38,34.6391,-120.4579,52.2,86,0,0.0,clear sky
149,Luderitz,NA,2022-01-30 12:16:38,-26.6481,15.1594,71.58,71,21,12.19,few clouds
150,Katangli,RU,2022-01-30 12:16:39,51.7102,143.2326,-9.0,97,100,6.44,overcast clouds
151,Avera,US,2022-01-30 12:16:39,33.194,-82.5271,28.71,35,0,6.67,clear sky
152,Zhob,PK,2022-01-30 12:16:39,31.3411,69.4481,61.11,26,0,5.57,clear sky
153,Sioux Lookout,CA,2022-01-30 12:16:40,50.1001,-91.917,-7.22,83,100,0.0,overcast clouds
154,Buala,SB,2022-01-30 12:16:40,-8.145,159.5921,80.19,84,99,5.03,light rain
155,Nyurba,RU,2022-01-30 12:16:40,63.2842,118.3319,-20.31,100,62,3.89,broken clouds
156,Sitka,US,2022-01-30 12:16:41,57.0531,-135.33,35.49,80,100,6.91,light snow
157,Cherskiy,RU,2022-01-30 12:16:42,68.75,161.3,-28.07,100,60,3.38,broken clouds
158,Mount Isa,AU,2022-01-30 12:16:42,-20.7333,139.5,74.97,100,75,10.36,light intensity shower rain
159,Kaitangata,NZ,2022-01-30 12:16:42,-46.2817,169.8464,56.71,94,96,3.89,overcast clouds
160,Segezha,RU,2022-01-30 12:16:43,63.7415,34.3222,17.26,93,100,6.62,overcast clouds
161,Le Mans,FR,2022-01-30 12:16:43,48.0,0.2,49.93,81,100,3.44,overcast clouds
162,Dzhebariki-Khaya,RU,2022-01-30 12:16:44,62.2167,135.8,-35.28,100,62,0.49,broken clouds
163,Lata,PT,2022-01-30 12:16:44,40.1629,-8.3327,64.72,27,50,3.71,scattered clouds
164,Kungsbacka,SE,2022-01-30 12:16:44,57.4872,12.0761,46.06,69,31,7.0,scattered clouds
165,Kondagaon,IN,2022-01-30 12:16:45,19.6,81.6667,72.46,22,1,5.82,clear sky
166,Qandala,SO,2022-01-30 12:16:45,11.472,49.8728,78.4,58,46,10.94,scattered clouds
167,Vao,NC,2022-01-30 12:16:45,-22.6667,167.4833,79.81,87,77,15.23,broken clouds
168,Ballina,AU,2022-01-30 12:16:46,-28.8667,153.5667,75.38,87,94,7.76,overcast clouds
169,Dingle,PH,2022-01-30 12:16:46,10.9995,122.6711,77.95,87,26,1.95,scattered clouds
170,Thinadhoo,MV,2022-01-30 12:16:46,0.5333,72.9333,82.44,70,99,9.19,overcast clouds
171,Hilo,US,2022-01-30 12:13:45,19.7297,-155.09,67.8,79,0,6.91,clear sky
172,Kimparana,ML,2022-01-30 12:16:47,12.8347,-4.9244,90.09,8,46,17.98,scattered clouds
173,Araouane,ML,2022-01-30 12:16:47,18.9048,-3.5265,84.0,9,38,17.96,scattered clouds
174,Tres Arroyos,AR,2022-01-30 12:16:48,-38.3739,-60.2798,73.22,51,48,20.98,scattered clouds
175,Bathsheba,BB,2022-01-30 12:16:48,13.2167,-59.5167,79.41,69,20,17.27,few clouds
176,Arti,RU,2022-01-30 12:16:49,56.4234,58.5328,13.91,95,100,2.59,overcast clouds
177,Itarema,BR,2022-01-30 12:14:51,-2.9248,-39.9167,75.2,90,100,10.67,light rain
178,Bethel,US,2022-01-30 12:16:49,41.3712,-73.414,12.49,54,0,1.99,clear sky
179,Preobrazheniye,RU,2022-01-30 12:12:12,42.9019,133.9064,15.62,62,65,9.22,broken clouds
180,Vestmannaeyjar,IS,2022-01-30 12:16:50,63.4427,-20.2734,36.59,60,75,31.07,broken clouds
181,Dunedin,NZ,2022-01-30 12:17:50,-45.8742,170.5036,60.8,82,86,8.99,overcast clouds
182,Swanton,US,2022-01-30 12:17:50,41.5887,-83.8911,19.49,84,100,3.44,overcast clouds
